Rank,Title,Ýear,Rating
154,V wie Vendetta,2005,8.1
155,Alles steht Kopf,2015,8.1
156,Das siebente Siegel,1957,8.1
157,Warrior,2011,8.1
158,No Country for Old Men,2007,8.1
159,Trainspotting - Neue Helden,1996,8.1
160,Raum,2015,8.1
161,Der Elefantenmensch,1980,8.1
162,Sixth Sense,1999,8.1
163,Shutter Island,2010,8.1
164,Das Ding aus einer anderen Welt,1982,8.1
165,Vom Winde verweht,1939,8.1
166,Die Brücke am Kwai,1957,8.1
167,Der Blade Runner,1982,8.1
168,Der dritte Mann,1949,8.1
169,Die Faust im Nacken,1954,8.1
170,Drishyam,2013,8.1
171,Jurassic Park,1993,8.1
172,Andhadhun,2018,8.1
173,Findet Nemo,2003,8.1
174,Wilde Erdbeeren,1957,8.1
175,Fargo - Blutiger Schnee,1996,8.1
176,Gran Torino,2008,8.1
177,Eskiya - Der Bandit,1996,8.1
178,Kill Bill: Vol. 1,2003,8.1
179,Die durch die Hölle gehen,1978,8.1
180,Stalker,1979,8.1
181,Die Truman Show,1998,8.1
182,Die Reise nach Tokio,1953,8.1
183,The Big Lebowski,1998,8.1
184,Wild Tales: Jeder dreht mal durch!,2014,8.1
185,"Mary & Max, oder - Schrumpfen Schafe, wenn es regnet",2009,8.1
186,Im Namen des Vaters,1993,8.1
187,Gone Girl - Das perfekte Opfer,2014,8.1
188,Hacksaw Ridge - Die Entscheidung,2016,8.1
189,Memories of Murder,2003,8.1
190,Der General,1926,8.1
191,Mr. Smith geht nach Washington,1939,8.1
192,Drachenzähmen leicht gemacht,2010,8.1
193,Sherlock Holmes Jr.,1924,8.1
194,Grand Budapest Hotel,2014,8.1
195,Persona,1966,8.1
196,Before Sunrise - Zwischenstopp in Wien,1995,8.1
197,Catch Me If You Can,2002,8.1
198,Der Unbeugsame,1967,8.1
199,Into the Wild,2007,8.1
200,Prisoners,2013,8.1
201,12 Years a Slave,2013,8.1
202,Lohn der Angst,1953,8.1
203,Network,1976,8.1
204,Stand by Me - Das Geheimnis eines Sommers,1986,8.1
205,Das Leben des Brian,1979,8.1
206,Mad Max: Fury Road,2015,8.1
207,Johanna von Orléans,1928,8.1
208,Platoon,1986,8.1
209,Barry Lyndon,1975,8.1
210,Million Dollar Baby,2004,8.1
211,Rush: Alles für den Sieg,2013,8.1
212,Hachiko - Eine wunderbare Freundschaft,2009,8.1
213,Rang De Basanti - Die Farbe Safran,2006,8.1
214,Logan: The Wolverine,2017,8.1
215,Andrej Rubljow,1966,8.1
216,Die roten Schuhe,1948,8.1
217,Ben Hur,1959,8.1
218,Nausicaä - Prinzessin aus dem Tal der Winde,1984,8.0
219,Sie küßten und sie schlugen ihn,1959,8.0
220,Hotel Ruanda,2004,8.0
221,Harry Potter und die Heiligtümer des Todes - Teil 2,2011,8.0
222,Amores perros,2000,8.0
223,Der Club der toten Dichter,1989,8.0
224,Spotlight,2015,8.0
225,Reporter des Satans,1951,8.0
226,Rebecca,1940,8.0
227,Maschinenpistolen,1949,8.0
228,Rocky,1976,8.0
229,Die Monster AG,2001,8.0
230,Die Taschendiebin,2016,8.0
231,Es geschah in einer Nacht,1934,8.0
232,Hass,1995,8.0
233,Lagaan - Es war einmal in Indien,2001,8.0
234,Gangs of Wasseypur,2012,8.0
235,Die Braut des Prinzen,1987,8.0
236,"PK - Andere Sterne, Andere Sitten",2014,8.0
237,Before Sunset,2004,8.0
238,The Help,2011,8.0
239,Zwei Banditen,1969,8.0
240,Terminator,1984,8.0
241,In the Mood for Love - Der Klang der Liebe,2000,8.0
242,Akira,1988,8.0
243,"Paris, Texas",1984,8.0
244,Munna Bhai M.B.B.S.,2003,8.0
245,Aladdin,1992,8.0
246,Guardians of the Galaxy,2014,8.0
247,Schlacht um Algier,1966,8.0
248,Infernal Affairs - Die achte Hölle,2002,8.0
249,Das Schloss im Himmel,1986,8.0
250,Die Legende vom Ozeanpianisten,1998,8.0
